"place_id";"activity_id"
1;26
1;123
2;25
2;26
2;126
2;56
3;26
3;126
4;26
4;123
4;126
4;128
5;26
5;125
6;26
6;125
6;124
7;26
7;123
8;26
8;125
9;26
9;124
10;26
10;125
11;26
11;125
12;26
12;125
13;26
13;127
13;123
14;26
14;125
15;26
15;125
16;26
16;130
17;26
17;123
18;26
18;29
18;131
18;147
18;163
19;26
19;124
20;28
20;26
20;10
20;143
20;134
21;26
21;123
22;26
22;123
23;26
23;124
24;26
24;124
25;26
25;123
26;27
26;26
26;128
27;26
27;126
28;26
28;124
29;29
29;26
29;148
29;123
29;150
30;26
30;127
31;26
31;129
34;26
34;132
35;26
35;123
39;26
39;123
39;133
40;26
40;123
41;26
41;127
41;123
42;26
42;123
43;26
43;123
43;124
43;129
44;26
44;124
45;26
45;123
45;128
46;26
46;124
47;26
47;124
48;26
48;124
49;26
49;125
50;27
52;27
53;27
53;137
55;27
59;27
63;27
64;27
65;27
67;27
68;27
69;27
72;27
72;138
74;27
75;27
76;27
77;27
