"id";"name";"activity_id"
1;"Points of Interest & Landmarks";1
2;"Sacred & Religious Sites";1
3;"Historic Sites";1
4;"Farms";1
5;"Bridges";1
6;"Scenic Walking Areas";1
7;"Architectural Buildings";1
8;"Churches & Cathedrals";1
9;"Historic Walking Areas";1
10;"Lighthouses";1
11;"Monuments & Statues";1
12;"Scenic Drives";1
13;"Sights & Landmarks";1
14;"Spas";2
15;"Health/Fitness Clubs & Gyms";2
16;"Thermal Spas";2
17;"Yoga & Pilates";2
18;"Onsen Resorts";2
19;"Roman Baths";2
20;"Spas & Wellness";2
21;"Beaches";3
22;"Islands";3
23;"Motorcycle Trails";3
24;"Nature & Wildlife Areas";3
25;"Forests";3
26;"Gardens";3
27;"Nature & Parks";3
28;"Art Galleries";4
29;"Art Museums";4
30;"History Museums";4
31;"Specialty Museums";4
32;"Museums";4
33;"Bars & Clubs";5
34;"Coffeehouses";5
35;"Bar, Club & Pub Tours";5
36;"Wine Bars";5
37;"Nightlife";5
38;"Theme Parks";6
39;"Water & Amusement Parks";6
40;"Paint & Pottery Studios";7
41;"Room Escape Games";7
42;"Scavenger Hunts";7
43;"Game & Entertainment Centers";7
44;"Movie Theaters";7
45;"Fun & Games";7
46;"Gift & Specialty Shops";8
47;"Shopping Malls";8
48;"Flea & Street Markets";8
49;"Shopping Tours";8
50;"Factory Outlets";8
51;"Department Stores";8
52;"Fashion Shows & Tours";8
53;"Shopping";8
54;"Theaters";9
55;"Performances";9
56;"Concerts & Shows";9
57;"Cooking Classes";10
58;"Food Tours";10
59;"Other Food & Drink";10
60;"Coffee & Tea Tours";10
61;"Beer Tastings & Tours";10
62;"Wine Tours & Tastings";10
63;"Food & Drink";10
64;"Lessons & Workshops";11
65;"Paint & Pottery Studios";11
66;"Sports Camps & Clinics";11
67;"Classes & Workshops";11
